Using cuda device
/root/autodl-tmp/projects/sb3/stable-baselines3-master/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Logging to outputs/stage1000_true_proposed_s8s9_independent_nenv32/runs/proposed_ppo_s8/tensorboard/proposed_ppo_s8_1
-----------------------------------------
| curriculum/                |          |
|    stage                   | 0        |
|    window_cost             | 0        |
|    window_route_completion | 0.103    |
|    window_success          | 0        |
| paper/                     |          |
|    accel_variation         | 0.829    |
|    base_reward             | 5.38     |
|    collision               | 0        |
|    crash_object            | 0        |
|    crash_vehicle           | 0        |
|    episode_cost            | 0        |
|    episode_length          | 600      |
|    jerk                    | 0.652    |
|    lane_deviation          | 0.199    |
|    max_lane_deviation      | 0.315    |
|    mean_speed_kmh          | 0.698    |
|    min_ttc                 | nan      |
|    out_of_road             | 0        |
|    route_completion        | 0.108    |
|    shaped_reward           | -107     |
|    steering_variation      | 0.79     |
|    success                 | 0        |
|    ttc_risk                | 0        |
| rollout/                   |          |
|    ep_len_mean             | 600      |
|    ep_rew_mean             | -103     |
|    success_rate            | 0        |
| time/                      |          |
|    fps                     | 1856     |
|    iterations              | 1        |
|    time_elapsed            | 17       |
|    total_timesteps         | 32768    |
-----------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0            |
|    window_route_completion | 0.127        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.845        |
|    base_reward             | 7.31         |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 0            |
|    episode_length          | 600          |
|    jerk                    | 0.653        |
|    lane_deviation          | 0.139        |
|    max_lane_deviation      | 0.307        |
|    mean_speed_kmh          | 0.808        |
|    min_ttc                 | nan          |
|    out_of_road             | 0            |
|    route_completion        | 0.122        |
|    shaped_reward           | -96.1        |
|    steering_variation      | 0.812        |
|    success                 | 0            |
|    ttc_risk                | 0            |
| rollout/                   |              |
|    ep_len_mean             | 598          |
|    ep_rew_mean             | -111         |
|    success_rate            | 0            |
| time/                      |              |
|    fps                     | 1385         |
|    iterations              | 2            |
|    time_elapsed            | 47           |
|    total_timesteps         | 65536        |
| train/                     |              |
|    approx_kl               | 0.0098428195 |
|    clip_fraction           | 0.133        |
|    clip_range              | 0.2          |
|    entropy_loss            | -2.81        |
|    explained_variance      | 0.00461      |
|    learning_rate           | 0.0003       |
|    loss                    | 0.205        |
|    n_updates               | 10           |
|    policy_gradient_loss    | -0.00888     |
|    std                     | 0.984        |
|    value_loss              | 0.363        |
---------------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0            |
|    window_route_completion | 0.151        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.826        |
|    base_reward             | 5.59         |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 0            |
|    episode_length          | 600          |
