Using cuda device
/root/autodl-tmp/projects/sb3/stable-baselines3-master/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Logging to outputs/stage1000_true_proposed_s8s9_independent_nenv32/runs/proposed_ppo_s9/tensorboard/proposed_ppo_s9_1
-----------------------------------------
| curriculum/                |          |
|    stage                   | 0        |
|    window_cost             | 0        |
|    window_route_completion | 0.098    |
|    window_success          | 0        |
| paper/                     |          |
|    accel_variation         | 0.823    |
|    base_reward             | 6.01     |
|    collision               | 0        |
|    crash_object            | 0        |
|    crash_vehicle           | 0        |
|    episode_cost            | 0        |
|    episode_length          | 600      |
|    jerk                    | 0.607    |
|    lane_deviation          | 0.0792   |
|    max_lane_deviation      | 0.151    |
|    mean_speed_kmh          | 0.705    |
|    min_ttc                 | nan      |
|    out_of_road             | 0        |
|    route_completion        | 0.111    |
|    shaped_reward           | -94.7    |
|    steering_variation      | 0.817    |
|    success                 | 0        |
|    ttc_risk                | 0        |
| rollout/                   |          |
|    ep_len_mean             | 600      |
|    ep_rew_mean             | -103     |
|    success_rate            | 0        |
| time/                      |          |
|    fps                     | 1877     |
|    iterations              | 1        |
|    time_elapsed            | 17       |
|    total_timesteps         | 32768    |
-----------------------------------------
-------------------------------------------
| curriculum/                |            |
|    stage                   | 0          |
|    window_cost             | 0          |
|    window_route_completion | 0.127      |
|    window_success          | 0          |
| paper/                     |            |
|    accel_variation         | 0.785      |
|    base_reward             | 8.76       |
|    collision               | 0          |
|    crash_object            | 0          |
|    crash_vehicle           | 0          |
|    episode_cost            | 0          |
|    episode_length          | 600        |
|    jerk                    | 0.584      |
|    lane_deviation          | 0.0895     |
|    max_lane_deviation      | 0.248      |
|    mean_speed_kmh          | 0.87       |
|    min_ttc                 | nan        |
|    out_of_road             | 0          |
|    route_completion        | 0.116      |
|    shaped_reward           | -90.2      |
|    steering_variation      | 0.814      |
|    success                 | 0          |
|    ttc_risk                | 0          |
| rollout/                   |            |
|    ep_len_mean             | 600        |
|    ep_rew_mean             | -107       |
|    success_rate            | 0          |
| time/                      |            |
|    fps                     | 1391       |
|    iterations              | 2          |
|    time_elapsed            | 47         |
|    total_timesteps         | 65536      |
| train/                     |            |
|    approx_kl               | 0.00954942 |
|    clip_fraction           | 0.121      |
|    clip_range              | 0.2        |
|    entropy_loss            | -2.81      |
|    explained_variance      | -0.00346   |
|    learning_rate           | 0.0003     |
|    loss                    | 0.269      |
|    n_updates               | 10         |
|    policy_gradient_loss    | -0.00671   |
|    std                     | 0.982      |
|    value_loss              | 0.457      |
-------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0           |
|    window_route_completion | 0.148       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.778       |
|    base_reward             | 5.42        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
