Using cuda device
/root/autodl-tmp/projects/sb3/stable-baselines3-master/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Logging to outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s20/tensorboard/proposed_ppo_s20_1
-----------------------------------------
| curriculum/                |          |
|    stage                   | 0        |
|    window_cost             | 0        |
|    window_route_completion | 0.0974   |
|    window_success          | 0        |
| paper/                     |          |
|    accel_variation         | 0.823    |
|    base_reward             | 5.13     |
|    collision               | 0        |
|    crash_object            | 0        |
|    crash_vehicle           | 0        |
|    episode_cost            | 0        |
|    episode_length          | 600      |
|    jerk                    | 0.62     |
|    lane_deviation          | 0.15     |
|    max_lane_deviation      | 0.331    |
|    mean_speed_kmh          | 0.668    |
|    min_ttc                 | nan      |
|    out_of_road             | 0        |
|    route_completion        | 0.101    |
|    shaped_reward           | -104     |
|    steering_variation      | 0.873    |
|    success                 | 0        |
|    ttc_risk                | 0        |
| rollout/                   |          |
|    ep_len_mean             | 600      |
|    ep_rew_mean             | -104     |
|    success_rate            | 0        |
| time/                      |          |
|    fps                     | 985      |
|    iterations              | 1        |
|    time_elapsed            | 33       |
|    total_timesteps         | 32768    |
-----------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0            |
|    window_route_completion | 0.118        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.768        |
|    base_reward             | 10.8         |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 0            |
|    episode_length          | 600          |
|    jerk                    | 0.622        |
|    lane_deviation          | 0.129        |
|    max_lane_deviation      | 0.382        |
|    mean_speed_kmh          | 1.01         |
|    min_ttc                 | nan          |
|    out_of_road             | 0            |
|    route_completion        | 0.161        |
|    shaped_reward           | -87.2        |
|    steering_variation      | 0.781        |
|    success                 | 0            |
|    ttc_risk                | 0            |
| rollout/                   |              |
|    ep_len_mean             | 600          |
|    ep_rew_mean             | -106         |
|    success_rate            | 0            |
| time/                      |              |
|    fps                     | 781          |
|    iterations              | 2            |
|    time_elapsed            | 83           |
|    total_timesteps         | 65536        |
| train/                     |              |
|    approx_kl               | 0.0076607587 |
|    clip_fraction           | 0.0855       |
|    clip_range              | 0.2          |
|    entropy_loss            | -2.81        |
|    explained_variance      | 0.000544     |
|    learning_rate           | 0.0003       |
|    loss                    | 0.57         |
|    n_updates               | 10           |
|    policy_gradient_loss    | -0.00388     |
|    std                     | 0.978        |
|    value_loss              | 0.839        |
---------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0           |
|    window_route_completion | 0.159       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.798       |
|    base_reward             | 7.05        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
