Using cuda device
/home/aaa/data/qj/stable-baselines3-master/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Logging to outputs/defensive_ttc12_v18_nenv8_final/runs/defensive_proposed_ppo_s27/tensorboard/proposed_ppo_s27_1
------------------------------------
| paper/                |          |
|    accel_variation    | 0.844    |
|    base_reward        | 5.32     |
|    collision          | 0        |
|    crash_object       | 0        |
|    crash_vehicle      | 0        |
|    episode_cost       | 0        |
|    episode_length     | 600      |
|    jerk               | 0.61     |
|    lane_deviation     | 0.0739   |
|    max_lane_deviation | 0.155    |
|    mean_speed_kmh     | 0.642    |
|    min_ttc            | nan      |
|    out_of_road        | 0        |
|    route_completion   | 0.0815   |
|    shaped_reward      | -96.8    |
|    steering_variation | 0.828    |
|    success            | 0        |
|    ttc_risk           | 0        |
| rollout/              |          |
|    ep_len_mean        | 600      |
|    ep_rew_mean        | -109     |
|    success_rate       | 0        |
| time/                 |          |
|    fps                | 2780     |
|    iterations         | 1        |
|    time_elapsed       | 2        |
|    total_timesteps    | 8192     |
------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.764       |
|    base_reward          | 6.79        |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 0           |
|    episode_length       | 600         |
|    jerk                 | 0.594       |
|    lane_deviation       | 0.247       |
|    max_lane_deviation   | 0.718       |
|    mean_speed_kmh       | 0.841       |
|    min_ttc              | nan         |
|    out_of_road          | 0           |
|    route_completion     | 0.127       |
|    shaped_reward        | -116        |
|    steering_variation   | 0.802       |
|    success              | 0           |
|    ttc_risk             | 0           |
| rollout/                |             |
|    ep_len_mean          | 600         |
|    ep_rew_mean          | -109        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 2543        |
|    iterations           | 2           |
|    time_elapsed         | 6           |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.008133944 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | 0.0142      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.21        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00657    |
|    std                  | 0.99        |
|    value_loss           | 0.489       |
-----------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0           |
|    window_route_completion | 0.12        |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.79        |
|    base_reward             | 8.86        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
|    jerk                    | 0.623       |
|    lane_deviation          | 0.208       |
|    max_lane_deviation      | 0.346       |
|    mean_speed_kmh          | 0.918       |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.122       |
|    shaped_reward           | -99.6       |
|    steering_variation      | 0.866       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 600         |
|    ep_rew_mean             | -114        |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 2538        |
|    iterations              | 3           |
|    time_elapsed            | 9           |
|    total_timesteps         | 24576       |
| train/                     |             |
|    approx_kl               | 0.006868477 |
|    clip_fraction           | 0.0843      |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.81       |
|    explained_variance      | -0.205      |
|    learning_rate           | 0.0003      |
|    loss                    | 0.546       |
|    n_updates               | 20          |
|    policy_gradient_loss    | -0.00464    |
|    std                     | 0.978       |
|    value_loss              | 1.23        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0           |
|    window_route_completion | 0.128       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.799       |
|    base_reward             | 8.8         |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
|    jerk                    | 0.654       |
|    lane_deviation          | 0.172       |
|    max_lane_deviation      | 0.672       |
|    mean_speed_kmh          | 0.912       |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.164       |
|    shaped_reward           | -103        |
|    steering_variation      | 0.813       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 600         |
|    ep_rew_mean             | -114        |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 2529        |
|    iterations              | 4           |
|    time_elapsed            | 12          |
