/home/aaa/data/qj/stable-baselines3-master/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Using cuda device
Logging to outputs/defensive_ttc12_v18_nenv10_final/runs/defensive_proposed_ppo_s28/tensorboard/proposed_ppo_s28_1
------------------------------------
| paper/                |          |
|    accel_variation    | 0.821    |
|    base_reward        | 6.77     |
|    collision          | 0        |
|    crash_object       | 0        |
|    crash_vehicle      | 0        |
|    episode_cost       | 0        |
|    episode_length     | 600      |
|    jerk               | 0.637    |
|    lane_deviation     | 0.041    |
|    max_lane_deviation | 0.196    |
|    mean_speed_kmh     | 0.703    |
|    min_ttc            | nan      |
|    out_of_road        | 0        |
|    route_completion   | 0.106    |
|    shaped_reward      | -91.5    |
|    steering_variation | 0.832    |
|    success            | 0        |
|    ttc_risk           | 0        |
| rollout/              |          |
|    ep_len_mean        | 600      |
|    ep_rew_mean        | -102     |
|    success_rate       | 0        |
| time/                 |          |
|    fps                | 3617     |
|    iterations         | 1        |
|    time_elapsed       | 2        |
|    total_timesteps    | 10240    |
------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0            |
|    window_route_completion | 0.107        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.76         |
|    base_reward             | 9.42         |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 0            |
|    episode_length          | 600          |
|    jerk                    | 0.589        |
|    lane_deviation          | 0.0468       |
|    max_lane_deviation      | 0.143        |
|    mean_speed_kmh          | 0.835        |
|    min_ttc                 | nan          |
|    out_of_road             | 0            |
|    route_completion        | 0.112        |
|    shaped_reward           | -88.1        |
|    steering_variation      | 0.788        |
|    success                 | 0            |
|    ttc_risk                | 0            |
| rollout/                   |              |
|    ep_len_mean             | 600          |
|    ep_rew_mean             | -101         |
|    success_rate            | 0            |
| time/                      |              |
|    fps                     | 3197         |
|    iterations              | 2            |
|    time_elapsed            | 6            |
|    total_timesteps         | 20480        |
| train/                     |              |
|    approx_kl               | 0.0074373186 |
|    clip_fraction           | 0.105        |
|    clip_range              | 0.2          |
|    entropy_loss            | -2.82        |
|    explained_variance      | -0.00533     |
|    learning_rate           | 0.0003       |
|    loss                    | 0.182        |
|    n_updates               | 10           |
|    policy_gradient_loss    | -0.0059      |
|    std                     | 0.984        |
|    value_loss              | 0.412        |
---------------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0            |
|    window_route_completion | 0.134        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.824        |
|    base_reward             | 8.01         |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 0            |
|    episode_length          | 600          |
|    jerk                    | 0.596        |
