Using cuda device
/root/autodl-tmp/projects/sb3/stable-baselines3-master/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Logging to outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s22/tensorboard/proposed_ppo_s22_1
-----------------------------------------
| curriculum/                |          |
|    stage                   | 0        |
|    window_cost             | 0        |
|    window_route_completion | 0.105    |
|    window_success          | 0        |
| paper/                     |          |
|    accel_variation         | 0.832    |
|    base_reward             | 6.6      |
|    collision               | 0        |
|    crash_object            | 0        |
|    crash_vehicle           | 0        |
|    episode_cost            | 0        |
|    episode_length          | 600      |
|    jerk                    | 0.662    |
|    lane_deviation          | 0.0401   |
|    max_lane_deviation      | 0.101    |
|    mean_speed_kmh          | 0.742    |
|    min_ttc                 | nan      |
|    out_of_road             | 0        |
|    route_completion        | 0.104    |
|    shaped_reward           | -90.8    |
|    steering_variation      | 0.802    |
|    success                 | 0        |
|    ttc_risk                | 0        |
| rollout/                   |          |
|    ep_len_mean             | 600      |
|    ep_rew_mean             | -104     |
|    success_rate            | 0        |
| time/                      |          |
|    fps                     | 2087     |
|    iterations              | 1        |
|    time_elapsed            | 15       |
|    total_timesteps         | 32768    |
-----------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0            |
|    window_route_completion | 0.119        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.845        |
|    base_reward             | 7.17         |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 0            |
|    episode_length          | 600          |
|    jerk                    | 0.645        |
|    lane_deviation          | 0.219        |
|    max_lane_deviation      | 0.397        |
|    mean_speed_kmh          | 0.828        |
|    min_ttc                 | nan          |
|    out_of_road             | 0            |
|    route_completion        | 0.127        |
|    shaped_reward           | -105         |
|    steering_variation      | 0.807        |
|    success                 | 0            |
|    ttc_risk                | 0            |
| rollout/                   |              |
|    ep_len_mean             | 600          |
|    ep_rew_mean             | -108         |
|    success_rate            | 0            |
| time/                      |              |
|    fps                     | 1997         |
|    iterations              | 2            |
|    time_elapsed            | 32           |
|    total_timesteps         | 65536        |
| train/                     |              |
|    approx_kl               | 0.0069723497 |
|    clip_fraction           | 0.0819       |
|    clip_range              | 0.2          |
|    entropy_loss            | -2.82        |
|    explained_variance      | -0.008       |
|    learning_rate           | 0.0003       |
|    loss                    | 0.271        |
|    n_updates               | 10           |
|    policy_gradient_loss    | -0.00437     |
|    std                     | 0.99         |
|    value_loss              | 0.638        |
---------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0           |
|    window_route_completion | 0.149       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.768       |
|    base_reward             | 12.6        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
