Using cuda device
/root/autodl-tmp/projects/sb3/stable-baselines3-master/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Logging to outputs/stage1000_true_proposed_s10s11_independent_nenv32/runs/proposed_ppo_s11/tensorboard/proposed_ppo_s11_1
-----------------------------------------
| curriculum/                |          |
|    stage                   | 0        |
|    window_cost             | 0        |
|    window_route_completion | 0.0999   |
|    window_success          | 0        |
| paper/                     |          |
|    accel_variation         | 0.806    |
|    base_reward             | 5.83     |
|    collision               | 0        |
|    crash_object            | 0        |
|    crash_vehicle           | 0        |
|    episode_cost            | 0        |
|    episode_length          | 600      |
|    jerk                    | 0.633    |
|    lane_deviation          | 0.0598   |
|    max_lane_deviation      | 0.133    |
|    mean_speed_kmh          | 0.695    |
|    min_ttc                 | nan      |
|    out_of_road             | 0        |
|    route_completion        | 0.1      |
|    shaped_reward           | -94.3    |
|    steering_variation      | 0.869    |
|    success                 | 0        |
|    ttc_risk                | 0        |
| rollout/                   |          |
|    ep_len_mean             | 600      |
|    ep_rew_mean             | -101     |
|    success_rate            | 0        |
| time/                      |          |
|    fps                     | 1386     |
|    iterations              | 1        |
|    time_elapsed            | 23       |
|    total_timesteps         | 32768    |
-----------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0            |
|    window_route_completion | 0.121        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.74         |
|    base_reward             | 8.14         |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 0            |
|    episode_length          | 600          |
|    jerk                    | 0.594        |
|    lane_deviation          | 0.126        |
|    max_lane_deviation      | 0.284        |
|    mean_speed_kmh          | 0.81         |
|    min_ttc                 | nan          |
|    out_of_road             | 0            |
|    route_completion        | 0.11         |
|    shaped_reward           | -94.1        |
|    steering_variation      | 0.782        |
|    success                 | 0            |
|    ttc_risk                | 0            |
| rollout/                   |              |
|    ep_len_mean             | 600          |
|    ep_rew_mean             | -109         |
|    success_rate            | 0            |
| time/                      |              |
|    fps                     | 1073         |
|    iterations              | 2            |
|    time_elapsed            | 61           |
|    total_timesteps         | 65536        |
| train/                     |              |
|    approx_kl               | 0.0101934895 |
|    clip_fraction           | 0.131        |
|    clip_range              | 0.2          |
|    entropy_loss            | -2.81        |
|    explained_variance      | -0.0148      |
|    learning_rate           | 0.0003       |
|    loss                    | 0.126        |
|    n_updates               | 10           |
|    policy_gradient_loss    | -0.00869     |
|    std                     | 0.981        |
|    value_loss              | 0.358        |
---------------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0.0667       |
|    window_route_completion | 0.146        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.805        |
|    base_reward             | 7.64         |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 0            |
|    episode_length          | 600          |
